Point #0: x=-44.18832778930664, y=-39.61061096191406, z=0.44999998807907104, yaw=-90.33749389648438
Point #281: x=-35.05819320678711, y=91.52658081054688, z=0.29999998211860657, yaw=0.0655519887804985
Point #282: x=-64.94330596923828, y=84.49235534667969, z=0.29999998211860657, yaw=-179.93441772460938
Point #283: x=155.015380859375, y=-5.701526165008545, z=0.5999999642372131, yaw=-90.05258178710938
Point #284: x=143.9221954345703, y=-1.9623245000839233, z=0.5, yaw=-179.74496459960938
Point #285: x=151.52549743652344, y=5.319231986999512, z=0.5999999642372131, yaw=89.9474105834961
Point #286: x=-120.7456283569336, y=53.57982635498047, z=0.29999998211860657, yaw=-90.51138305664062
Point #287: x=-124.22940826416016, y=55.41099548339844, z=0.29999998211860657, yaw=-90.51138305664062
Point #288: x=-124.91129302978516, y=-40.2913818359375, z=0.29999998211860657, yaw=-89.6064453125
Point #289: x=-268.63006591796875, y=-21.157270431518555, z=0.29999998211860657, yaw=-89.58318328857422
Point #290: x=-121.39695739746094, y=-42.3672981262207, z=0.29999998211860657, yaw=-89.6064453125
Point #291: x=31.704620361328125, y=-50.84739685058594, z=0.29999998211860657, yaw=-88.46794891357422
Point #292: x=35.23812484741211, y=-52.05337142944336, z=0.29999998211860657, yaw=-88.46794891357422
Point #293: x=35.09933090209961, y=54.58958053588867, z=0.29999998211860657, yaw=-89.97711181640625
Point #294: x=31.59943962097168, y=55.988182067871094, z=0.29999998211860657, yaw=-89.97711181640625
Point #295: x=-9.64059066772461, y=87.99239349365234, z=0.29999998211860657, yaw=-179.93441772460938
Point #296: x=-8.236586570739746, y=84.49398040771484, z=0.29999998211860657, yaw=-179.93441772460938
Point #297: x=-120.1492919921875, y=120.38714599609375, z=0.29999998211860657, yaw=-90.51138305664062
Point #298: x=-123.6651840209961, y=118.61842346191406, z=0.29999998211860657, yaw=-90.51138305664062
Point #299: x=-47.711585998535156, y=-41.689964294433594, z=0.44999998807907104, yaw=-90.33749389648438
Point #300: x=-265.11639404296875, y=-23.031763076782227, z=0.29999998211860657, yaw=-89.58318328857422
Point #301: x=-110.70001983642578, y=-88.06057739257812, z=0.29999998211860657, yaw=0.08630399405956268
